# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
108.86,17.05,20.45,19.05,1.40,144.14,139.47,4.66
119.22,17.11,20.49,17.38,3.11,144.11,136.04,8.07
116.64,17.11,20.53,16.68,3.85,144.04,136.06,7.98
109.91,17.11,20.45,19.21,1.24,144.07,140.27,3.80
116.34,17.23,20.44,17.43,3.01,143.96,137.90,6.06
115.20,17.23,19.98,17.53,2.45,143.44,138.61,4.83
110.14,16.62,19.59,16.23,3.37,143.00,135.95,7.05
111.09,16.62,19.18,16.17,3.01,142.50,135.52,6.99
94.56,14.97,17.98,16.35,1.62,140.86,132.18,8.68
94.22,14.97,17.66,16.40,1.26,140.19,132.14,8.05
95.62,14.97,16.85,16.13,0.71,138.71,131.53,7.18
92.69,14.58,16.51,15.94,0.57,137.93,128.07,9.86
92.09,14.58,16.01,16.04,0.03,135.64,128.95,6.69
91.47,13.86,15.85,11.40,4.45,134.20,116.74,17.46
91.06,13.86,15.65,11.19,4.46,132.45,116.61,15.84
82.02,12.53,15.13,11.78,3.35,125.18,110.46,14.72
78.77,12.53,14.98,15.35,0.37,121.30,106.85,14.46
76.34,12.53,14.87,16.77,1.90,116.59,109.19,7.40
63.05,10.39,14.45,13.40,1.05,100.25,68.40,31.85
61.14,10.39,14.35,13.73,0.62,94.55,66.24,28.31
59.88,10.39,14.24,14.38,0.14,81.19,66.08,15.11
57.06,10.39,14.16,16.48,2.32,74.22,53.43,20.79
54.00,10.39,14.09,20.40,6.31,56.10,39.29,16.81
44.14,7.62,14.11,13.94,0.17,50.94,35.88,15.06
40.02,7.62,14.06,20.57,6.51,46.43,9.62,36.81
37.64,7.62,14.08,21.47,7.38,34.43,10.57,23.86
34.75,6.34,14.12,17.04,2.92,31.54,11.18,20.35
29.53,5.66,14.22,14.37,0.15,26.64,13.58,13.06
24.78,4.66,14.19,12.82,1.38,24.61,15.72,8.89
23.66,4.66,13.90,12.46,1.44,18.72,16.61,2.11
23.83,4.66,13.81,12.48,1.32,16.87,16.58,0.29
23.80,3.28,13.72,14.62,0.90,15.18,7.38,7.80
23.41,3.28,13.23,14.63,1.40,11.59,7.29,4.29
25.11,3.22,13.06,14.66,1.61,10.65,7.69,2.96
27.39,3.22,12.61,14.54,1.93,9.26,8.11,1.16
27.19,3.12,12.47,14.52,2.06,8.83,8.01,0.82
27.41,3.12,11.94,14.50,2.56,7.64,8.04,0.41
26.22,3.12,11.75,14.59,2.84,7.28,7.85,0.56
22.03,2.91,11.57,14.83,3.27,6.98,6.98,0.00
20.61,2.91,11.31,15.03,3.72,5.90,6.68,0.78
18.11,2.72,11.25,15.46,4.21,5.53,5.90,0.37
16.59,2.72,11.17,16.67,5.50,4.89,4.73,0.16
13.72,2.45,11.06,13.77,2.71,4.67,5.27,0.60
12.98,2.45,10.87,12.72,1.85,4.01,5.43,1.42
12.06,2.45,10.74,11.68,0.94,3.89,5.60,1.71
9.59,2.28,10.60,10.22,0.37,3.76,5.45,1.69
9.09,2.28,10.33,10.10,0.23,3.63,5.42,1.80
8.31,2.19,10.26,9.72,0.54,3.60,5.35,1.75
7.73,2.19,10.24,9.57,0.67,3.55,5.31,1.76
6.95,2.11,9.98,9.22,0.76,3.58,5.24,1.66
6.23,2.11,9.89,9.03,0.85,3.58,5.23,1.65
6.05,2.11,9.84,8.99,0.86,3.61,5.23,1.62
5.75,2.02,9.83,8.72,1.11,3.56,5.19,1.63
5.25,2.02,9.74,8.60,1.14,3.63,5.19,1.56
5.14,2.02,9.83,8.57,1.26,3.61,5.19,1.58
5.30,2.02,9.94,8.61,1.33,3.65,5.19,1.54
4.52,2.22,10.45,8.83,1.62,3.88,5.28,1.40
5.06,2.22,10.62,8.96,1.65,3.99,5.28,1.29
5.55,2.22,10.94,9.08,1.85,4.33,5.28,0.95
5.19,2.86,11.21,8.43,2.77,4.48,11.22,6.74
6.11,2.86,11.87,9.36,2.51,5.29,10.03,4.75
7.70,2.86,12.05,11.63,0.42,5.71,6.75,1.04
11.38,3.50,12.44,13.02,0.58,6.04,9.78,3.73
13.56,3.50,14.04,14.33,0.29,7.34,8.58,1.24
16.83,4.42,14.63,14.09,0.54,7.81,11.88,4.07
18.33,4.42,15.22,13.91,1.31,8.26,12.90,4.64
22.70,5.47,17.41,15.22,2.19,9.48,15.93,6.45
23.12,5.47,18.33,14.85,3.48,9.81,16.38,6.57
24.08,5.47,19.76,14.62,5.15,10.49,16.44,5.94
27.53,7.38,20.36,16.60,3.76,10.79,11.34,0.55
28.30,7.38,22.57,17.09,5.48,11.99,11.50,0.50
29.69,8.36,23.37,18.96,4.41,12.44,11.89,0.55
32.05,8.36,24.06,18.53,5.53,12.89,11.28,1.61
32.72,10.05,26.10,24.59,1.51,14.26,10.65,3.61
33.16,10.05,26.83,24.25,2.57,14.82,10.91,3.91
32.50,10.05,28.21,24.71,3.50,15.82,10.60,5.23
33.25,12.14,28.87,30.01,1.13,16.22,12.06,4.16
33.88,12.14,30.90,29.59,1.32,17.69,12.01,5.69
34.25,12.98,31.61,31.16,0.45,18.11,12.76,5.35
34.86,12.98,32.32,30.94,1.39,18.44,12.98,5.46
36.81,14.39,34.56,33.67,0.89,19.00,16.88,2.12
37.00,14.39,35.44,34.01,1.43,19.01,17.17,1.84
37.86,14.39,37.03,35.67,1.36,18.70,18.57,0.12
45.83,15.95,37.90,36.00,1.90,18.21,12.29,5.92
46.25,15.95,40.67,35.71,4.96,16.63,11.81,4.82
46.11,16.70,41.58,38.14,3.45,16.19,12.92,3.27
45.67,16.70,42.39,38.52,3.87,15.80,13.42,2.38
46.36,17.75,44.90,44.41,0.49,14.79,14.15,0.64
46.42,17.75,45.78,44.37,1.40,14.65,14.08,0.57
46.98,17.75,47.03,44.03,3.00,14.85,13.45,1.40
48.28,18.70,47.67,46.23,1.44,14.89,13.30,1.60
48.53,18.70,49.39,46.13,3.25,15.61,13.19,2.42
48.64,19.36,49.93,47.95,1.99,15.96,14.15,1.81
48.89,19.36,50.37,48.06,2.31,16.42,14.58,1.83
50.03,20.39,52.09,51.47,0.62,18.16,16.98,1.19
49.69,20.39,52.81,51.37,1.44,18.94,16.38,2.57
50.20,20.39,54.26,51.53,2.73,20.69,17.27,3.42
50.08,22.25,54.96,57.17,2.21,21.64,17.56,4.08
50.16,22.25,57.16,57.15,0.01,25.07,17.56,7.51
50.34,23.50,57.84,60.75,2.91,26.34,21.43,4.91
50.16,23.50,58.55,60.85,2.29,27.45,21.42,6.03
49.14,24.52,60.07,62.73,2.66,30.13,27.73,2.40
48.67,24.52,60.48,62.23,1.76,30.84,28.14,2.70
48.47,24.52,60.87,62.02,1.14,31.30,28.32,2.98
48.70,25.09,61.90,61.46,0.43,31.53,31.23,0.29
48.03,25.09,62.03,61.17,0.86,31.43,31.37,0.06
48.50,25.06,62.16,61.36,0.80,30.99,31.17,0.18
48.58,25.06,62.23,61.40,0.83,30.58,31.15,0.58
47.03,24.86,61.98,60.71,1.27,29.10,30.67,1.57
46.47,24.86,61.75,60.74,1.00,28.48,30.36,1.88
47.17,24.86,61.51,60.71,0.80,27.74,30.74,3.00
47.50,23.81,60.85,62.87,2.02,24.63,24.26,0.37
47.61,23.81,60.52,62.82,2.30,23.42,24.21,0.79
47.39,23.81,59.94,62.83,2.89,22.43,24.33,1.90
47.03,21.80,58.15,57.49,0.67,19.40,15.62,3.78
48.25,21.80,57.57,56.73,0.84,18.45,15.90,2.55
50.39,20.47,56.21,51.95,4.26,16.74,17.58,0.83
51.58,20.47,55.36,55.99,0.64,16.06,17.09,1.03
54.05,19.00,53.05,52.55,0.49,14.02,12.99,1.03
55.27,19.00,52.30,51.80,0.50,13.33,12.95,0.38
55.59,19.00,51.54,51.60,0.06,12.69,12.94,0.25
56.95,17.36,49.04,47.52,1.52,10.90,12.36,1.46
57.16,17.36,48.24,47.65,0.58,10.37,12.14,1.77
56.95,16.17,47.51,42.36,5.15,9.84,10.95,1.11
56.98,16.17,44.68,42.37,2.30,9.00,10.92,1.91
56.25,14.91,43.69,39.16,4.53,8.87,9.92,1.05
56.30,14.91,41.61,39.16,2.46,8.60,9.88,1.28
55.80,14.91,40.46,39.12,1.33,8.55,10.40,1.86
54.00,12.84,37.12,35.09,2.04,8.35,10.67,2.32
54.16,12.84,35.69,35.21,0.48,8.09,10.61,2.52
52.36,11.55,35.24,29.17,6.07,7.99,12.77,4.78
51.20,11.55,32.80,31.44,1.36,7.41,11.50,4.09
49.34,10.53,32.15,27.72,4.43,7.27,11.48,4.21
48.36,10.53,31.53,28.40,3.13,7.13,12.01,4.88
47.55,10.53,30.97,28.36,2.61,7.00,11.54,4.54
44.72,9.23,30.40,26.92,3.48,6.84,9.27,2.43
41.55,9.23,27.99,23.78,4.22,6.55,12.16,5.60
36.89,7.12,27.16,20.93,6.22,6.34,8.96,2.62
39.14,7.12,26.34,20.72,5.61,6.11,7.53,1.42
42.08,5.23,24.05,17.94,6.11,5.29,6.65,1.36
41.77,5.23,23.36,18.01,5.35,4.90,6.56,1.66
42.59,5.23,21.98,17.86,4.12,4.41,6.71,2.30
43.28,4.23,21.63,15.89,5.74,4.11,5.34,1.22
